1776;0;0
Elapsed time;Relative error;best fitness;optimal
0.0018424;1.20917e+08;2295;1776
0.0029471;29.223;2295;1776
0.0040054;29.223;2295;1776
0.005319;29.223;2295;1776
0.0066466;29.223;2295;1776
0.0080313;29.223;2295;1776
0.0092744;29.223;2295;1776
0.0104524;29.223;2295;1776
0.0116038;29.223;2295;1776
0.0127094;29.223;2295;1776
0.0138566;29.223;2295;1776
0.0152639;29.223;2295;1776
0.0164577;29.223;2295;1776
0.0176059;29.223;2295;1776
0.0187377;29.223;2295;1776
0.0198444;29.223;2295;1776
0.0209784;29.223;2295;1776
0.0223499;29.223;2295;1776
0.0234667;29.223;2295;1776
0.0246004;29.223;2295;1776
0.0258115;29.223;2274;1776
0.0272934;28.0405;2274;1776
0.0285523;28.0405;2263;1776
0.029757;27.4212;2263;1776
0.0312403;27.4212;2263;1776
0.0325246;27.4212;2263;1776
0.0338667;27.4212;2263;1776
0.035122;27.4212;2263;1776
0.0363955;27.4212;2263;1776
0.0377694;27.4212;2263;1776
0.0390932;27.4212;2263;1776
0.0405777;27.4212;2263;1776
0.0418194;27.4212;2263;1776
0.0433343;27.4212;2263;1776
0.0446515;27.4212;2263;1776
0.0461465;27.4212;2263;1776
0.0475576;27.4212;2263;1776
0.048967;27.4212;2263;1776
0.0503574;27.4212;2263;1776
0.0516724;27.4212;2263;1776
0.0530894;27.4212;2263;1776
0.0543942;27.4212;2263;1776
0.0557396;27.4212;2263;1776
0.0570868;27.4212;2263;1776
0.0585294;27.4212;2263;1776
0.0599303;27.4212;2263;1776
0.0613488;27.4212;2263;1776
0.062753;27.4212;2263;1776
0.0640943;27.4212;2263;1776
0.0655463;27.4212;2263;1776
0.0668843;27.4212;2263;1776
0.0683834;27.4212;2263;1776
0.0699503;27.4212;2256;1776
0.0713203;27.027;2256;1776
0.0727087;27.027;2256;1776
0.0741981;27.027;2256;1776
0.0755951;27.027;2247;1776
0.0769741;26.5203;2247;1776
0.0783525;26.5203;2247;1776
0.0796907;26.5203;2247;1776
0.0810759;26.5203;2247;1776
0.0823899;26.5203;2247;1776
0.0837503;26.5203;2247;1776
0.0852335;26.5203;2247;1776
0.0866455;26.5203;2247;1776
0.0879938;26.5203;2247;1776
0.0894095;26.5203;2247;1776
0.0908602;26.5203;2247;1776
0.0923004;26.5203;2247;1776
0.0938218;26.5203;2247;1776
0.0951753;26.5203;2247;1776
0.0964923;26.5203;2247;1776
0.0978315;26.5203;2247;1776
0.0992322;26.5203;2247;1776
0.100591;26.5203;2247;1776
0.10229;26.5203;2247;1776
0.10383;26.5203;2247;1776
0.105271;26.5203;2247;1776
0.106643;26.5203;2247;1776
0.108184;26.5203;2247;1776
0.109645;26.5203;2247;1776
0.110987;26.5203;2247;1776
0.112408;26.5203;2247;1776
0.113776;26.5203;2247;1776
0.115068;26.5203;2247;1776
0.116739;26.5203;2247;1776
0.118097;26.5203;2232;1776
0.119497;25.6757;2232;1776
0.120971;25.6757;2232;1776
0.122478;25.6757;2232;1776
0.123807;25.6757;2232;1776
0.125447;25.6757;2232;1776
0.127256;25.6757;2232;1776
0.128704;25.6757;2232;1776
0.130188;25.6757;2232;1776
0.132167;25.6757;2232;1776
0.134167;25.6757;2232;1776
0.135761;25.6757;2232;1776
0.137329;25.6757;2232;1776
0.138789;25.6757;2232;1776
0.140417;25.6757;2232;1776
0.142175;25.6757;2232;1776
0.143996;25.6757;2232;1776
0.146174;25.6757;2232;1776
0.147967;25.6757;2232;1776
0.149706;25.6757;2232;1776
0.15148;25.6757;2232;1776
0.153854;25.6757;2232;1776
0.156033;25.6757;2232;1776
0.157605;25.6757;2232;1776
0.159234;25.6757;2232;1776
0.160683;25.6757;2232;1776
0.162289;25.6757;2232;1776
0.164218;25.6757;2232;1776
0.166517;25.6757;2232;1776
0.168594;25.6757;2232;1776
0.170193;25.6757;2232;1776
0.171746;25.6757;2232;1776
0.173592;25.6757;2232;1776
0.175622;25.6757;2232;1776
0.177419;25.6757;2232;1776
0.179388;25.6757;2232;1776
0.180829;25.6757;2232;1776
0.182894;25.6757;2232;1776
0.184872;25.6757;2232;1776
0.187093;25.6757;2232;1776
0.18879;25.6757;2232;1776
0.190567;25.6757;2232;1776
0.192066;25.6757;2232;1776
0.193889;25.6757;2232;1776
0.195496;25.6757;2232;1776
0.197282;25.6757;2232;1776
0.198857;25.6757;2232;1776
0.200415;25.6757;2232;1776
0.202178;25.6757;2232;1776
0.203872;25.6757;2232;1776
0.205486;25.6757;2232;1776
0.207521;25.6757;2232;1776
0.209408;25.6757;2232;1776
0.211126;25.6757;2232;1776
0.212626;25.6757;2232;1776
0.214328;25.6757;2232;1776
0.215928;25.6757;2232;1776
0.217539;25.6757;2232;1776
0.219022;25.6757;2232;1776
0.220664;25.6757;2232;1776
0.222294;25.6757;2232;1776
0.223998;25.6757;2232;1776
0.226094;25.6757;2232;1776
0.227849;25.6757;2232;1776
0.229453;25.6757;2232;1776
0.231073;25.6757;2232;1776
0.232715;25.6757;2232;1776
0.234489;25.6757;2232;1776
0.236327;25.6757;2232;1776
0.238183;25.6757;2232;1776
0.240007;25.6757;2232;1776
0.242564;25.6757;2232;1776
0.244765;25.6757;2232;1776
0.246907;25.6757;2232;1776
0.249313;25.6757;2232;1776
0.251546;25.6757;2232;1776
0.253348;25.6757;2232;1776
0.255115;25.6757;2232;1776
0.25684;25.6757;2232;1776
0.258968;25.6757;2232;1776
0.261552;25.6757;2232;1776
0.26383;25.6757;2232;1776
0.266227;25.6757;2232;1776
0.268454;25.6757;2232;1776
0.270307;25.6757;2232;1776
0.272255;25.6757;2232;1776
0.274403;25.6757;2232;1776
0.276568;25.6757;2232;1776
0.278335;25.6757;2232;1776
0.280001;25.6757;2232;1776
0.281977;25.6757;2232;1776
0.283716;25.6757;2232;1776
0.285467;25.6757;2232;1776
0.287176;25.6757;2232;1776
0.288954;25.6757;2232;1776
0.290699;25.6757;2232;1776
0.29259;25.6757;2232;1776
0.294592;25.6757;2232;1776
0.296437;25.6757;2232;1776
0.298114;25.6757;2232;1776
